,,,,,,,,,,,,,,,,,,,,
,,,Date   Rec'd,,Company,,City  (County),,#  Affected,,Layoff  Date(s),,Phone  Number,,Union,,WARN  ID,,,
,,,,,,,,,,,,,,,,,,,,
,,,12/28/2015,,Fenner  Dunlop,,Port  Clinton/Ottawa,,85,,"12/23/2015‐
Mid   January",,(419)  635‐ 2191,,USW  Local   1117L,,007‐ 15‐ 034,,,
,,,12/22/2015,,Enersys,,Cleveland/Cuyahoga,,95,,"02/19/2016‐
05/31/2016",,(216)  889‐ 2343,,"United   Steelworkers 
Union   Local   1‐ 00243",,003‐ 15‐ 033,,,
,,,12/18/2015,,Exterran,,Youngstown/Mahoning,,68,,"01/14/2016‐
03/31/2016",,(281)  836‐ 7049,,None,,017‐ 15‐ 032,,,
,,,12/14/2015,,Concord   Steel,,Warren/Trumbull,,11,,12/31/2015,,(708)  225‐ 3522,,USW,,018‐ 15‐ 031,,,
,,,12/11/2015,,Titan   Tire,,Bryan/Williams,,130,,2/8/2016,,(419)   787‐ 5051,,USW,,007‐ 15‐ 030,,,
,,,12/1/2015,,"Volvo   Group   North 
America  LLC",,Lewis   Center/Delaware,,121,,"12/31/2015‐
03/31/2016",,(301)  660‐ 0704,,UAW  Local   2269,,007‐ 15‐ 029,,,
,,,11/20/2015,,Chester  Packaging  LLC,,Cincinnati/Hamilton,,79,,"01/31/2016‐
04/30/2016",,(513)  458‐ 3848,,None,,013‐ 15‐ 028,,,
,,,11/16/2015,,"Centrus  Energy  Corp
Hyundai   Ideal   Electric",,Piketon/Pike,,unknown,,"1/11/2016
01/11/2015‐",,(740)   897‐ 5843,,"None
United   Steelworkers",,001‐ 15‐ 027,,,
,7/2/2015,,CITI,,Columbus/Franklin,,403,,12/31/2015,,(469)  220‐ 4363,,None,,011‐ 15‐ 001,
,6/17/2015,,"Sodexo  (at   Bowling  
Green  University)",,Bowling   Green/Wood,,60,,7/11/2015,,(419)  372‐ 7102,,None,,007‐ 14‐ 060,
,6/17/2015,,"Sodexo   (at   Franciscan  
University)",,Steubenville/Jefferson,,148,,7/31/2015,,(740)  284‐ 5751,,None,,016‐ 14‐ 059,
,6/15/2015,,Lorain   National   Bank,,Lorain/Lorain,,98,,8/14/2015,,(440)  244‐ 7252,,None,,004‐ 14‐ 058,
,6/15/2015,,"Haverhill   Chemicals  
LLC",,Haverhill/Scioto,,164,,8/10/2015,,(740)  533‐ 5222,,None,,001‐ 14‐ 057,
,6/8/2015,,"The   Service  Companies  
Inc",,Cleveland/Cuyahoga,,86,,7/31/2015,,(702)  784‐ 5163,,UNITE  HERE,,003‐ 14‐ 056,
,6/8/2015,,"Community  
Development  Institute  
Head  Start",,Youngstown/Mahoning,,143,,7/31/2015,,(202)  401‐ 9215,,None,,017‐ 14‐ 055,
,5/20/2015,,Caremark  RX  LLC,,Solon/Cuyahoga,,76,,7/18/2015,,(480)  614‐ 7257,,None,,003‐ 14‐ 054,
,5/13/2015,,Hydraulic   Technologies,,Galion/Crawford,,Unknown,,"07/07/2015‐
12/31/2015",,(419)  462‐ 4301,,Unknown,,010‐ 14‐ 052,
,5/11/2015,,DecisionOne,,Grove  City/Franklin,,75,,5/13/2015,,(610)   296‐ 2924,,None,,011‐ 14‐ 051,
,5/1/2015,,"Renaissance  Cleveland
Volvo   Group   North",,Cleveland/Cuyahoga,,282,,6/30/2015,,(301)  380‐ 3023,,None,,003‐ 14‐ 050,
,4/21/2015,,America  LLC,,Lewis   Center/Delaware,,300,,6/26/2015,,(740)  549‐ 6431,,UAW  Local   2269,,007‐ 14‐ 049,
,4/20/2015,,"Meritor
Republic   Storage",,Heath/Licking,,96,,Various,,(740)   348‐ 3594,,"IBEW  Local   1206  and  
UAW",,007‐ 14‐ 048,
,4/10/2015,,Systems,,Canton/Stark,,270,,4/10/2015,,(330)  438‐ 5800,,United  Steelworkers,,006‐ 14‐ 047,
,4/6/2015,,"ExxonMobil   Chemical  
Company",,Akron/Summit,,Unknown,,12/31/2015,,(330)   849‐ 5133,,Unknown,,002‐ 14‐ 046,
,4/2/2015,,"ABM  Healthcare 
Support   Services",,Various/Various,,90,,6/30/2015,,(586)   771‐ 3040,,None,,011‐ 14‐ 045,
,3/31/2015,,"Regency  Hospital   of  
Akron  (Select   Medical  
Corp)",,Barberton/Summit,,85,,5/29/2015,,(717)  972‐ 1128,,None,,002‐ 14‐ 044,
,3/27/2015,,"Corrections  
Corporation   of  
America  (CCA)",,Youngstown/Mahoning,,185,,5/30/2015,,(615)  263‐ 6704,,None,,017‐ 14‐ 043,
,3/24/2015,,"Worthington  
Industries",,Bremen/Fairfield,,78,,3/24/2015,,(740)  569‐ 4143,,None,,020‐ 14‐ 042,
,3/19/2015,,"AEP  Generation  
Resources  Inc  
Muskingum   River  Plant",,"Waterford 
(Beverly)/Washington",,62,,5/31/2015,,(740)  984‐ 3450,,Unknown,,015‐ 14‐ 040,
,3/11/2015,,"The   Tamarkin  
Company
WP  Glimcher   (Dayton",,Austintown/Mahoning,,196,,5/9/2015,,(412)  967‐ 3638,,Teamsters  Local   No.   377,,017‐ 14‐ 039,
,3/4/2015,,"and   Fairfield  
Commons
)",,Various/Various,,87,,Unknown,,(614)   621‐ 9000,,None,,007‐ 14‐ 038,
,3/4/2015,,WP  Glimcher   (Polaris),,Columbus/Franklin,,45,,Unknown,,(614)   621‐ 9000,,None,,011‐ 14‐ 037,
,2/2/2015,,"Bonne   Bell,  Inc.",,Westlake/Cuyahoga,,91,,3/29/2015,,(440)  808‐ 2501,,None,,003‐ 14‐ 036,
,1/26/2015,,"Exel,  Inc.",,Columbus/Franklin,,278,,4/17/2015,,(614)   865‐ 8901,,None,,011‐ 14‐ 035,
,1/7/2015,,Market  Day  LLC,,Various/Various,,107,,3/7/2015,,(630)   285‐ 3391,,None,,099‐ 14‐ 034,
,1/8/2015,,"Trulite   Glass   Company  
LLC",,Hebron/Licking,,70,,3/8/2015,,(954)   724‐ 1775,,None,,007‐ 14‐ 032,
,1/7/2015,,"United   States   Steel 
Corporation   Lorain",,Lorain/Lorain,,636,,3/8/2015,,(440)  240‐ 2804,,USW,,002‐ 14‐ 031,
,1/5/2015,,"A.  Schulman,   Inc",,Stryker/Williams,,67,,"03/02/2015  and  
04/03/2015",,(330)  668‐ 4503,,"International   Union,  
United   Automobile,  
Aerospace  &  
Agricultural   Implement 
Workers  of   America, 
UAW  Local   211,  and  
UAW  Region  
2B",,007‐ 14‐ 030,
